,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp,age_diff,age,age_spouse,name_sp_cl,year_m,year_div,name_sp_sp_cl,year_m_sp,year_div_sp,num_of_child_cl,num_of_child_sp_cl,name_sp_cl,num_of_m,name_sp_sp_cl,num_of_m_sp,num_of_role,num_of_role_sp,geohash,geohash_sp,zodiac,zodiac_sp,geo_distance ,sex,divorce
1475,Leah Remini,1970-06-15,Angelo Pagán ( m.   2003 ),1,,"
 Actress 
 writer 
 activist 
","New York City , U.S.",,,,,,,48.89080542379378,,['Angelo Pagán'],[2003],,,,,1.0,,['Angelo Pagán'],1.0,,,3.0,,dr5regw,,5.0,,,F,0.0
1476,Retta,1970-04-12,,,,"Actress, comedian, chemist (past)","Newark, New Jersey , U.S.",,,,,,,49.06603147224104,,,,,,,,,,,,,,4.0,,dr5r8pt,,3.0,,,F,
1477,Anne Revere,1903-06-25,Samuel Rosen (1935–84; his death),,,Actress,"New York City, New York ,  U.S.",,,,,,,115.86548662874665,,,,,,,,,,,,,,1.0,,dr5regw,,6.0,,,F,
1478,Judy Reyes,1967-11-05,Edwin M. Figueroa ( m.  1997;  div.  2008) [2],1,,"Actress, Producer","The Bronx ,  New York , U.S. [1]",,,,,,,51.50003080145383,,['Edwin M Figueroa'],[1997],[2008],,,,1.0,,['Edwin M Figueroa'],1.0,,,2.0,,dr72w1h,,10.0,,,F,1.0
1479,Debbie Reynolds,1932-04-01,Eddie Fisher ( m.  1955;  div.  1959) Harry Karl ( m.  1960;  div.  1973) Richard Hamlett ( m.  1984;  div.  1996),"
 Carrie Fisher 
 Todd Fisher 
",,"Actress, singer, dancer, businesswoman","El Paso, Texas , U.S.",1928-08-10,"Philadelphia, Pennsylvania , U.S.","Singer, actor","
 Debbie Reynolds ( m.  1955;  div.  1959) 
 Elizabeth Taylor ( m.  1959;  div.  1964) 
 Connie Stevens ( m.  1967;  div.  1969) 
 Terry Richard ( m.  1975;  div.  1976) 
 Betty Lin ( m.  1993; died 2001) 
","
 Carrie Fisher 
 Todd Fisher 
 Joely Fisher 
 Tricia Leigh Fisher 
",3.641416319294715,87.09555979931142,90.73697611860614,"['Eddie Fisher', 'Harry Karl', 'Richard Hamlett']","[1955, 1960, 1984]","[1959, 1973, 1996]","['Debbie Reynolds', 'Elizabeth Taylor', 'Connie Stevens', 'Terry Richard', 'Betty Lin']","[1955, 1959, 1967, 1975, 1993]","[1959, 1964, 1969, 1976]",,,"['Eddie Fisher', 'Harry Karl', 'Richard Hamlett']",3.0,"['Debbie Reynolds', 'Elizabeth Taylor', 'Connie Stevens', 'Terry Richard', 'Betty Lin']",5.0,4.0,2.0,9tsk8y5,dr4e394,3.0,7.0,20000000.0,F,1.0
1480,Alicia Rhett,1915-02-01,"Actress,  portrait painter",,,"Actress,  portrait painter","Savannah, Georgia ,  U.S.",,,,,,,104.25949882612237,,,,,,,,,,,,,,3.0,,djwqd8p,,1.0,,,F,
1481,Barbara Rhoades,1946-03-23,Bernie Orenstein (1979-present),,,Actress,"Poughkeepsie, New York , U.S.",,,,,,,73.12128243564207,,,,,,,,,,,,,,1.0,,dr7mjzk,,3.0,,,F,
1482,Cynthia Rhodes,1956-11-21,Richard Marx  (1989–2014; divorced),3,,"Actress, singer, dancer","Nashville, Tennessee , U.S.",,,,,,,62.45439673641485,,,,,,,,3.0,,,,,,3.0,,dn6m9pp,,10.0,,,F,
1483,Jennifer Rhodes,1947-08-17,Jordan Rhodes (divorced),,,Actress,"Rosiclare, Illinois , U.S.",,,,,,,71.71947404806396,,,,,,,,,,,,,,1.0,,dn9hvsu,,7.0,,,F,
1484,Kim Rhodes,1969-06-07,Actress,1,Southern Oregon UniversityTemple University (MFA),Actress,"Portland, Oregon , U.S.",,,,,,,49.91204473740049,,,,,,,,1.0,,,,,,1.0,,c20fbmg,,5.0,,,F,
1485,Monica Rial,1975-10-05,,,,"Voice actress, ADR director, script writer","Houston ,  Texas , U.S.",,,,,,,43.58474164425005,,,,,,,,,,,,,,6.0,,9vk1mc9,,9.0,,,F,
1486,Marissa Ribisi,1974-12-17,Beck ( m.  2004;  div.  2019),2,,Actress,"Los Angeles ,  California , U.S.",,,,,,,44.3842104902907,,['Beck'],[2004],[2019],,,,2.0,,['Beck'],1.0,,,1.0,,9q5ctr1,,11.0,,,F,1.0
1487,Elizabeth Ellen Rice,1985-11-05,,,,Actress,"Pine Bluff ,  Jefferson County ,  Arkansas ,  U.S.",,,,,,,33.49829223050439,,,,,,,,,,,,,,1.0,,9ynddrj,,10.0,,,F,
1488,Gigi Rice,1965-03-13,Ted McGinley  ( m.  1991),2,,Actress,"Westerville, Ohio , U.S.",1958-05-30,"Newport Beach, California , U.S.",Actor,Gigi Rice  ( m.  1991),2,6.7872714703245105,54.147586877211715,60.93485834753623,['Ted McGinley'],[1991],,['Gigi Rice'],[1991],,2.0,2.0,['Ted McGinley'],1.0,['Gigi Rice'],1.0,1.0,1.0,dpjh2bf,9mupk2n,2.0,5.0,20000000.0,F,0.0
1489,Christina Ricci,1980-02-12,James Heerdegen ( m.  2013),1,,"Actress, producer","Santa Monica, California , U.S.",,,,,,,39.22873159613134,,['James Heerdegen'],[2013],,,,,1.0,,['James Heerdegen'],1.0,,,2.0,,9q59x9j,,1.0,,,F,0.0
1490,Ariana Richards,1979-09-11,Mark Aaron Bolton ( m.  2013),1,,"Actress, painter","Healdsburg, California , U.S.",,,,,,,39.65036927520757,,['Mark Aaron Bolton'],[2013],,,,,1.0,,['Mark Aaron Bolton'],1.0,,,2.0,,9qbeshc,,8.0,,,F,0.0
1491,Beah Richards,1920-07-12,Hugh Harrell Jr. (divorced),,,Actress,"Vicksburg, Mississippi , U.S.",,,,,,,98.81653969622921,,,,,,,,,,,,,,1.0,,9vz2h18,,6.0,,,F,
1492,Denise Richards,1971-02-17,"Charlie Sheen ( m.  2002;  div.  2006) 
 Aaron Phypers  ( m.  2018)",3,,Actress,"Downers Grove, Illinois , U.S.",1965-09-03,"New York City , New York, U.S.",Actor,Donna Peele ( m.  1995;  div.  1996) Denise Richards ( m.  2002;  div.  2006) Brooke Mueller ( m.  2008;  div.  2011) [1],5,5.456648664928096,48.21454239306762,53.67119105799571,"['Charlie Sheen', 'Aaron Phypers']","[2002, 2018]",[2006],"['Donna Peele', 'Denise Richards', 'Brooke Mueller']","[1995, 2002, 2008]","[1996, 2006, 2011]",3.0,5.0,"['Charlie Sheen', 'Aaron Phypers']",2.0,"['Donna Peele', 'Denise Richards', 'Brooke Mueller']",3.0,1.0,1.0,dp3mv70,dr5regw,1.0,8.0,5003530.0,F,1.0
1493,Kim Richards,1964-09-19,G. Monty Brinson ( m.  1985;  div.  1988) Gregg Davis ( m.  1988;  div.  1991),4,,"
 Actress 
 television personality 
","Mineola, New York , U.S.",,,,,,,54.626720603434705,,"['G Monty Brinson', 'Gregg Davis']","[1985, 1988]","[1988, 1991]",,,,4.0,,"['G Monty Brinson', 'Gregg Davis']",2.0,,,3.0,,dr5xu60,,8.0,,,F,1.0
1494,Kyle Richards,1969-01-11,Guraish Aldjufrie ( m.  1988;  div.  1992)   Mauricio Umansky ( m.  1996),4,,"Actress, television personality, memoirist, philanthropist","Hollywood, California , U.S.",,,,,,,50.31451706742781,,"['Guraish Aldjufrie', 'Mauricio Umansky']","[1988, 1996]",[1992],,,,4.0,,"['Guraish Aldjufrie', 'Mauricio Umansky']",2.0,,,5.0,,9q5cgq7,,0.0,,,F,1.0
1495,Cameron Richardson,1979-09-11,,1,,"Producer, Actress, Model","Baton Rouge ,  Louisiana , U.S.",,,,,,,39.65036927520757,,,,,,,,1.0,,,,,,3.0,,9vrjhzx,,8.0,,,F,
1496,LaTanya Jackson,1949-10-21,Samuel L. Jackson  ( m.  1980),1,,"Actress, producer","Atlanta ,  Georgia , U.S.",1948-12-21,"Washington, D.C. , U.S.","Actor, film producer",LaTanya Richardson  ( m.  1980),1,0.8323237301245063,69.54010007050111,70.37242380062561,['Samuel L Jackson'],[1980],,['LaTanya Richardson'],[1980],,1.0,1.0,['Samuel L Jackson'],1.0,['LaTanya Richardson'],1.0,2.0,3.0,djgzzxy,dqcjqfz,9.0,11.0,5003530.0,F,0.0
1497,Natasha Richardson,1963-05-11,Robert Fox ( m.  1990;  div.  1992) Liam Neeson  ( m.  1994),2,St Paul's Girls' School,Actress,"Marylebone ,  London , England",1952-03-25,"Cuckfield ,  Sussex , England","Film producer, theatre producer",Celestia Fox ( m.  1975;  div.  1990) Natasha Richardson ( m.  1990;  div.  1992) Fiona Golfar ( m.  1996),5,11.126854076401296,55.987460385907994,67.11431446230928,"['Robert Fox', 'Liam Neeson']","[1990, 1994]",[1992],"['Celestia Fox', 'Natasha Richardson', 'Fiona Golfar']","[1975, 1990, 1996]","[1990, 1992]",2.0,5.0,"['Robert Fox', 'Liam Neeson']",2.0,"['Celestia Fox', 'Natasha Richardson', 'Fiona Golfar']",3.0,1.0,4.0,gcpvhdd,gcpfhtr,4.0,3.0,123264.0,F,1.0
1498,Patricia Richardson,1951-02-23,Ray Baker ( m.  1982;  div.  1995),3,,Actress,"Bethesda, Maryland ,  U.S.",1948-07-09,"Omaha, Nebraska ,  U.S.",Actor,Patricia Richardson ( m.  1982;  div.  1995) Colleen Dodson ( m.  1997),3,2.625652819701979,68.19852563707674,70.82417845677871,['Ray Baker'],[1982],[1995],"['Patricia Richardson', 'Colleen Dodson']","[1982, 1997]",[1995],3.0,3.0,['Ray Baker'],1.0,"['Patricia Richardson', 'Colleen Dodson']",2.0,1.0,1.0,dqcjv8v,9z7f8yw,2.0,6.0,20000000.0,F,1.0
1499,Ashley Rickards,1992-05-04,,,,"Actress, director","Sarasota, Florida , U.S.",,,,,,,27.00397680992765,,,,,,,,,,,,,,2.0,,dhv79br,,4.0,,,F,
1500,Beth Riesgraf,1978-08-24,Jason Lee  (2001–07),1,,Actress,"Belle Plaine ,  Minnesota , U.S.",,,,,,,40.698987658884164,,,,,,,,1.0,,,,,,1.0,,9zvmf5r,,8.0,,,F,
1501,Amanda Righetti,1983-04-04,Jordan Alan  ( m.  2006),1,,Actress,"St. George, Utah , U.S.",,,Director,Amanda Righetti  (2006-present),,,36.08835225911552,,['Jordan Alan'],[2006],,,,,1.0,,['Jordan Alan'],1.0,,,1.0,1.0,9qx5p9n,,3.0,,,F,0.0
1502,Molly Ringwald,1968-02-18,Valery Lameignère ( m.  1999;  div.  2002) Panio Gianopoulos  ( m.  2007),3,,"Actress, singer, dancer, writer","Roseville ,  California , U.S.",,,,,,,51.212550565720036,,"['Valery Lameignère', 'Panio Gianopoulos']","[1999, 2007]",[2002],,,,3.0,,"['Valery Lameignère', 'Panio Gianopoulos']",2.0,,,4.0,,9qcu2n8,,2.0,,,F,1.0
1503,Lisa Rinna,1963-07-11,Harry Hamlin  ( m.  1997),2,,"Actress, fashion designer, talk show host, television personality","Newport Beach, California , U.S.",1951-10-30,"Pasadena, California , U.S.","Actor,  voice actor , writer, business investor","
 Laura Johnson ( m.  1985;  div.  1989) 
 Nicollette Sheridan ( m.  1991;  div.  1992) 
 Lisa Rinna  ( m.  1997) 
",3,11.696338733854905,55.820448058481695,67.5167867923366,['Harry Hamlin'],[1997],,"['Laura Johnson', 'Nicollette Sheridan', 'Lisa Rinna']","[1985, 1991, 1997]","[1989, 1992]",2.0,3.0,['Harry Hamlin'],1.0,"['Laura Johnson', 'Nicollette Sheridan', 'Lisa Rinna']",3.0,8.0,7.0,9mupk2n,9q5fr83,6.0,10.0,5003530.0,F,0.0
1504,Kelly Ripa,1970-10-02,Mark Consuelos  ( m.  1996),3,Eastern Regional High School,"
 Actress 
 talk show host 
 television producer 
","Berlin, New Jersey , U.S.",1971-03-30,"Zaragoza ,  Spain",,Kelly Ripa  ( m.  1996),3,-0.49008535425094285,48.59237356003204,48.10228820578109,['Mark Consuelos'],[1996],,['Kelly Ripa'],[1996],,3.0,3.0,['Mark Consuelos'],1.0,['Kelly Ripa'],1.0,6.0,,dr4dqgy,ezrkgvb,9.0,3.0,20000000.0,F,0.0
1505,Thelma Ritter,1902-02-14,Joseph Moran (1927–1969; her death),2,,Actress,"New York City ,  New York ,  U.S.",,,,,,,117.22348850421295,,,,,,,,2.0,,,,,,1.0,,dr5regw,,1.0,,,F,
1506,Naya Rivera,1987-01-12,Ryan Dorsey ( m.  2014;  div.  2018),1,,"
 Actress 
 singer 
 model 
","Santa Clarita, California , U.S.",,,,,,,32.312778496478366,,['Ryan Dorsey'],[2014],[2018],,,,1.0,,['Ryan Dorsey'],1.0,,,3.0,,9q5ewkz,,0.0,,,F,1.0
1507,AnnaSophia Robb,1993-12-08,,,New York University,"Actress, singer, model","Denver, Colorado , U.S.",,,,,,,25.407777024853353,,,,,,,,,,,,,,3.0,,9xj64fk,,11.0,,,F,
1508,Doris Roberts,1925-11-04,"
 Michael E. Cannata ( m.  1956;  div.  1962) 
 William Goyen ( m.  1963; died 1983) 
",1,,Actress,"St. Louis ,  Missouri , U.S.",,,,,,,93.50226219566453,,"['Michael E Cannata', 'William Goyen']","[1956, 1963]",[1962],,,,1.0,,"['Michael E Cannata', 'William Goyen']",2.0,,,1.0,,9yzgery,,10.0,,,F,1.0
1509,Emma Roberts,1991-02-10,,,,Actress singer,"Rhinebeck, New York , U.S.",,,,,,,28.233297056065492,,,,,,,,,,,,,,2.0,,dr7qw1q,,1.0,,,F,
1510,Julia Roberts,1967-10-28,Lyle Lovett ( m.  1993;  div.  1995)     Daniel Moder  ( m.  2002),3,Georgia State University (attended),"Actress, producer","Smyrna, Georgia , U.S.",,,,,,,51.52193405750974,,"['Lyle Lovett', 'Daniel Moder']","[1993, 2002]",[1995],,,,3.0,,"['Lyle Lovett', 'Daniel Moder']",2.0,,,2.0,,dn5bub6,,10.0,,,F,1.0
1511,Tanya Roberts,1955-10-15,"Barry Roberts (m. 1974, d. 2006; his death)",,,"Actress ,  producer","The Bronx ,  New York City ,   New York , U.S.",,,,,,,63.557773260231215,,['Barry Roberts'],[1974],,,,,,,['Barry Roberts'],1.0,,,3.0,,dr72r5t,,9.0,,,F,0.0
1512,Britt Robertson,1990-04-18,,,,Actress,"Charlotte, North Carolina , U.S.",,,,,,,29.049193344148065,,,,,,,,,,,,,,1.0,,dnq82kg,,3.0,,,F,
1513,Wendy Robie,1953-10-06,,1,,Actress,"Cincinnati ,  Ohio , U.S.",,,,,,,65.58108653839572,,,,,,,,1.0,,,,,,1.0,,dngykys,,9.0,,,F,
1514,Wendy Raquel Robinson,1967-07-25,Marco Perkins ( m.  2003),,Howard University,Actress,"Los Angeles ,  California , U.S.",,,,,,,51.782035223173644,,['Marco Perkins'],[2003],,,,,,,['Marco Perkins'],1.0,,,1.0,,9q5ctr1,,7.0,,,F,0.0
1515,Ann Robinson,1929-05-25,Joseph Valdez (1987–2017) (divorced)  Jaime Bravo  (1957–1967) (divorced) 2 children,Jaime A. Bravo (b. 1958) Estefan A. Bravo (b. 1963),,,"Hollywood ,  Los Angeles ,  California , U.S.",,,,,,,89.94845890059344,,,,,,,,,,,,,,,,9q5cgq7,,5.0,,,F,
1516,Cindy Robinson,1968-04-06,Christopher Corey Smith  (2015–present),,,Voice actress,,,,,,,,51.081131029384586,,,,,,,,,,,,,,2.0,,,,3.0,,,F,
1517,Holly Robinson Peete,1964-09-18,Sarah Lawrence College,4,,"Actress, singer, author, television personality","Mount Airy, Philadelphia ,  Pennsylvania , U.S.",,,,,,,54.629458510441694,,,,,,,,4.0,,,,,,5.0,,dr4ech2,,8.0,,,F,
1518,Lela Rochon,1964-04-17,Adolfo Quiñones ( m.  1982;  div.  1987) Antoine Fuqua  ( m.  1999),2,"Cerritos High SchoolCalifornia State University, Dominguez Hills",Actress,"Los Angeles ,  California , U.S.",1955-05-11,"Chicago, Illinois , U.S.",Actor dancer choreographer [2],Gwendolyn Powell ( m.  1979;  div.  1982) Lela Rochon ( m.  1984;  div.  1987),2,8.936528470810488,55.05109618951792,63.987624660328414,"['Adolfo Quiñones', 'Antoine Fuqua']","[1982, 1999]",[1987],"['Gwendolyn Powell', 'Lela Rochon']","[1979, 1984]","[1982, 1987]",2.0,2.0,"['Adolfo Quiñones', 'Antoine Fuqua']",2.0,"['Gwendolyn Powell', 'Lela Rochon']",2.0,1.0,4.0,9q5ctr1,dp3wjzt,3.0,4.0,20000000.0,F,1.0
1519,Holland Roden,1986-10-07,,,,Actress,"Dallas ,  Texas ,  U.S.",,,,,,,32.578355476156254,,,,,,,,,,,,,,1.0,,9vg4mqf,,9.0,,,F,
1520,Michelle Rodriguez,1978-07-12,,,,Actress,"San Antonio ,  Texas ,  United States",,,,,,,40.81671766018467,,,,,,,,,,,,,,1.0,,9v1zqsr,,6.0,,,F,
1521,Raini Rodriguez,1993-07-01,,,,"Actress, singer","Bryan, Texas , U.S.",,,,,,,25.845842145971513,,,,,,,,,,,,,,2.0,,9v7qx01,,6.0,,,F,
1522,Sarah Roemer,1984-08-28,Chad Michael Murray  ( m.   2015 ),2,,"Actress, model","San Diego ,  California , U.S.",1981-08-24,"Buffalo, New York , U.S.","Actor, model, spokesperson, writer",Sophia Bush ( m.   2005 ;  div.   2006 ) Sarah Roemer  ( m.   2015 ),2,3.0116977076873583,34.6865438715374,37.698241579224764,['Chad Michael Murray'],[2015],,"['Sophia Bush', 'Sarah Roemer']","[2005, 2015]",[2006],2.0,2.0,['Chad Michael Murray'],1.0,"['Sophia Bush', 'Sarah Roemer']",2.0,2.0,4.0,9mudjgt,dpxgvp4,8.0,8.0,20000000.0,F,0.0
1523,Ginger Rogers,1911-07-16,Jack Pepper ( m.  1929;  div.  1931) Lew Ayres ( m.  1934;  div.  1940) Jack Briggs ( m.  1943;  div.  1949) Jacques Bergerac ( m.  1953;  div.  1957) William Marshall ( m.  1961;  div.  1969),,,"
 Actress 
 dancer 
 singer 
","Independence, Missouri , U.S.",1902-06-14,"Palestine, Texas , U.S.","Singer, dancer, comedian, musician, nightclub manager",Ginger Rogers ( m.  1929;  div.  1931) Dawn Stanton ( m.  1935; his death 1979),Cynthia Pepper,9.087113356194857,107.80782630717948,116.89493966337433,"['Jack Pepper', 'Lew Ayres', 'Jack Briggs', 'Jacques Bergerac', 'William Marshall']","[1929, 1934, 1943, 1953, 1961]","[1931, 1940, 1949, 1957, 1969]","['Ginger Rogers', 'Dawn Stanton']","[1929, 1935]",[1931],,,"['Jack Pepper', 'Lew Ayres', 'Jack Briggs', 'Jacques Bergerac', 'William Marshall']",5.0,"['Ginger Rogers', 'Dawn Stanton']",2.0,3.0,6.0,9yuy7s2,9veuxy5,6.0,5.0,5003530.0,F,1.0
1524,Mimi Rogers,1956-01-27,James Rogers ( m.  1976;  div.  1980) Tom Cruise ( m.  1987;  div.  1990) Christopher Ciaffa ( m.  2003),2,,"Actress, producer, poker player","Coral Gables, Florida , U.S.",,,,,,,63.27303093150441,,"['James Rogers', 'Tom Cruise', 'Christopher Ciaffa']","[1976, 1987, 2003]","[1980, 1990]",,,,2.0,,"['James Rogers', 'Tom Cruise', 'Christopher Ciaffa']",3.0,,,4.0,,dhwfmx3,,1.0,,,F,1.0
1525,Elisabeth Röhm,1973-04-28,Ron Anthony Wooster ( m.  2008;  div.  2014),1,,Actress,"Düsseldorf ,  West Germany",,,,,,,46.02147888046982,,['Ron Anthony Wooster'],[2008],[2014],,,,1.0,,['Ron Anthony Wooster'],1.0,,,1.0,,u1hg6js,,4.0,,,F,1.0
1526,Esther Rolle,1920-11-08,Oscar Robinson ( m.  1955;  div.  1975),,Spelman College (attended),Actress,"Pompano Beach , Florida, U.S.",,,,,,,98.49072876239758,,['Oscar Robinson'],[1955],[1975],,,,,,['Oscar Robinson'],1.0,,,1.0,,dhxj28q,,10.0,,,F,1.0
1527,Rose Rollins,1981-04-30,,,,Actress,"Berkeley ,  California , U.S",,,,,,,38.01583879203543,,,,,,,,,,,,,,1.0,,9q9p3w7,,4.0,,,F,
1528,Ruth Roman,1922-12-22,Jack Flaxman (1939–c. 1941) [4] Mortimer Hall (1950–1956) Bud Burton Moss (1956–1960) William Ross Wilson (1976–1999),Richard Roman Hall (b. 1952),,Actress,"Lynn, Massachusetts , U.S.",,,,,,,96.37158873898848,,,,,,,,,,,,,,1.0,,drt99db,,0.0,,,F,
1529,Christy Carlson Romano,1984-03-20,Brendan Rooney ( m.   2013 ),2,,Actress comedian singer,"Milford, Connecticut , U.S.",,,,,,,35.127346899662555,,['Brendan Rooney'],[2013],,,,,2.0,,['Brendan Rooney'],1.0,,,3.0,,drk493u,,3.0,,,F,0.0
1530,Rebecca Romijn,1972-11-06,John Stamos ( m.   1998 ;  div.   2005 ) Jerry O'Connell  ( m.   2007 ),2,,Actress & former model,"Berkeley, California , U.S.",1963-08-19,"Cypress, California , U.S.","
 Actor 
 producer 
 musician 
 singer 
 comedian 
",Rebecca Romijn ( m.   1998 ;  div.   2005 ) Caitlin McHugh  ( m.  2018),1,9.218532892530305,46.495136792678835,55.71366968520914,"['John Stamos', ""Jerry O'Connell""]","[1998, 2007]",[2005],"['Rebecca Romijn', 'Caitlin McHugh']","[1998, 2018]",[2005],2.0,1.0,"['John Stamos', ""Jerry O'Connell""]",2.0,"['Rebecca Romijn', 'Caitlin McHugh']",2.0,4.0,5.0,9q9p3w7,9qh06h0,10.0,7.0,625441.0,F,1.0
1531,Xosha Roquemore,1984-12-12,Lakeith Stanfield,1,,Actress,"Los Angeles ,  California ,  U.S.",,,,,,,34.39632572879662,,,,,,,,1.0,,,,,,1.0,,9q5ctr1,,11.0,,,F,
1532,Anika Noni Rose,1972-09-06,,,Florida A&M University (BA)American Conservatory Theater (MFA),"Actress, singer","Bloomfield, Connecticut ,  U.S.",,,,,,,46.662149120105134,,,,,,,,,,,,,,2.0,,drkmbyr,,8.0,,,F,
1533,Cristine Rose,1951-01-31,,,,Actress,"Lynwood, California , U.S.",,,,,,,68.26149749823747,,,,,,,,,,,,,,1.0,,9q5cn0c,,1.0,,,F,
1534,Emily Rose,1981-02-02,Dairek Morgan ( m.   2009 ),2,,,"Renton, Washington , U.S.",,,,,,,38.25403670164343,,['Dairek Morgan'],[2009],,,,,2.0,,['Dairek Morgan'],1.0,,,,,c23n556,,1.0,,,F,0.0
1535,Margot Rose,1956-07-17,,,,"Actress, composer, lyricist","Pittsburgh, Pennsylvania , U. S.",,,,,,,62.80211092630239,,,,,,,,,,,,,,3.0,,dppn59u,,6.0,,,F,
1536,Diana Ross,1944-03-26,Robert Ellis Silberstein ( m.  1971;  div.  1977) Arne Næss Jr. ( m.  1986;  div.  2000),"5, including:    Rhonda Ross Kendrick     Tracee Ellis Ross     Evan Ross",,"Singer, actress, record producer","Detroit ,  Michigan , U.S.",1946-01-05,"Elberon, New Jersey , U.S.",,Diana Ross ( m.  1971;  div.  1977),"3, including  Tracee Ellis Ross",-1.7796395545425299,75.11174082972272,73.3321012751802,"['Robert Ellis Silberstein', 'Arne Næss Jr']","[1971, 1986]","[1977, 2000]",['Diana Ross'],[1971],[1977],5.0,3.0,"['Robert Ellis Silberstein', 'Arne Næss Jr']",2.0,['Diana Ross'],1.0,4.0,,dpsby4p,dr5mh6b,3.0,0.0,5003530.0,F,1.0
1537,Katharine Ross,1940-01-29,Joel Fabiani ( m.  1960;  div.  1962) John Marion ( m.  1964;  div.  1967) Conrad Hall ( m.  1969;  div.  1974) Gaetano Lisi ( m.  1974;  div.  1979) Sam Elliott  ( m.  1984),1,,"Actress, author","Hollywood ,  California , U.S.",,,,,,,79.26788366633127,,"['Joel Fabiani', 'John Marion', 'Conrad Hall', 'Gaetano Lisi', 'Sam Elliott']","[1960, 1964, 1969, 1974, 1984]","[1962, 1967, 1974, 1979]",,,,1.0,,"['Joel Fabiani', 'John Marion', 'Conrad Hall', 'Gaetano Lisi', 'Sam Elliott']",5.0,,,2.0,,9q5cgq7,,1.0,,,F,1.0
1538,Tracee Ellis Ross,1972-10-29,,,,"Actress, model, comedian, television host, activist","Los Angeles ,  California , U.S.",,,,,,,46.51704004873474,,,,,,,,,,,,,,6.0,,9q5ctr1,,10.0,,,F,
1539,Emmy Rossum,1986-09-12,"
 Justin Siegel ( m.   2008 ;  div.   2010 ) 
 Sam Esmail  ( m.   2017 ) 
",,,"
 Actress 
 television director 
 singer-songwriter 
","New York City ,  New York , U.S. [2]",,,,,,,32.646803151330964,,"['Justin Siegel', 'Sam Esmail']","[2008, 2017]",[2010],,,,,,"['Justin Siegel', 'Sam Esmail']",2.0,,,4.0,,dr5rq7s,,8.0,,,F,1.0
1540,Lillian Roth,1910-12-13,Mark Harris (?–?; divorced) William C. Scott (1931–1932; divorced) Benjamin Shalleck (1933–1939; divorced) Eugene Weiner (1940–1941; divorced) Edward Goldman (1942–1945; divorced) Thomas Burt McGuire (?–1963; divorced),,,Actress,"Boston ,  Massachusetts , U.S.",,,,,,,108.396476313682,,,,,,,,,,,,,,1.0,,drt2zp2,,11.0,,,F,
1541,Jessica Rothe,1987-05-28,,,,Actress,"Denver, Colorado , U.S.",,,,,,,31.94042314352793,,,,,,,,,,,,,,1.0,,9xj64fk,,5.0,,,F,
1542,Misty Rowe,1950-06-01,"James DePaiva  (1986–1995), J.D. Ligier (2001–2013)",,,Actress,"Glendora, California , U.S.",,,,,,,68.92954680794267,,,,,,,,,,,,,,1.0,,9qh4jym,,5.0,,,F,
1543,Victoria Rowell,1959-05-10,Tom Fahey (1989–1990)   Radcliffe Bailey (2009–2014),2,,"Actress, producer, writer","Portland ,  Maine , U.S.",,,,,,,59.99028043012519,,,,,,,,2.0,,,,,,3.0,,dry037b,,4.0,,,F,
1544,Kelly Rowland,1981-02-11,Tim Weatherspoon ( m.   2014 ),1,,"
 Singer 
 songwriter 
 actress 
 television personality 
","Atlanta ,  Georgia , U.S.",,,,,,,38.22939553858053,,['Tim Weatherspoon'],[2014],,,,,1.0,,['Tim Weatherspoon'],1.0,,,5.0,,djgzzxy,,1.0,,,F,0.0
1545,Gena Rowlands,1930-06-19,John Cassavetes ( m.  1954; died 1989) Robert Forrest   ( m.  2012),Nick Cassavetes Alexandra Cassavetes Zoe Cassavetes,,Actress,"Cambria, Wisconsin , U.S.",1929-12-09,"New York City, U.S.","
 Actor 
 filmmaker 
",Gena Rowlands    ( m.  1954),"
 Nick 
 Alexandra 
 Zoe 
",0.5256781453417935,88.88067516786792,89.40635331320972,"['John Cassavetes', 'Robert Forrest']","[1954, 2012]",,['Gena Rowlands'],[1954],,,,"['John Cassavetes', 'Robert Forrest']",2.0,['Gena Rowlands'],1.0,1.0,2.0,dp8xsqd,dr5regw,5.0,11.0,5003530.0,F,1.0
1546,Jennifer Rubin,1962-04-03,,,,"Actress, Writer, Producer","Phoenix ,  Arizona , U.S.",,,,,,,57.09083690972436,,,,,,,,,,,,,,3.0,,9tbq39n,,3.0,,,F,
1547,Zelda Rubinstein,,,,,"Actress, human rights activist","Pittsburgh , Pennsylvania, U.S.",,,,,,,,,,,,,,,,,,,,,4.0,,dppn59u,,,,,F,
1548,Maya Rudolph,1972-07-27,Paul Thomas Anderson  (2001–present),4,,"Actress, voice artist, comedian, singer","Gainesville, Florida , U.S.",,,,,,,46.774403307391665,,,,,,,,4.0,,,,,,5.0,,djm2wtu,,7.0,,,F,
1549,Sara Rue,1979-01-26,Mischa Livingstone ( m.  2001;  div.  2007) Kevin Price  ( m.  2011),2,,Actress,"New York City ,  New York , U.S.",,,,,,,40.27461207280095,,"['Mischa Livingstone', 'Kevin Price']","[2001, 2011]",[2007],,,,2.0,,"['Mischa Livingstone', 'Kevin Price']",2.0,,,1.0,,dr5regw,,1.0,,,F,1.0
