,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
17805,Lenny Von Dohlen,1958-12-22,,Hazel,,Actor,"Augusta, Georgia, U.S.",,,,,,,60.28597438687995,
17806,Theodore von Eltz,1893-11-05,Peggy Prior (1921-1931; divorced); 2 children Elizabeth Lorimer (1932-1964) (his death),Lori March (1923-2013),,Actor,"New Haven, Connecticut, U.S.",,,,,,,125.41256836211558,
17807,Hunter von Leer,1944-04-03,,,,Actor,"Terre Haute, Indiana, U.S.",,,,,,,75.00496245645017,
17808,Harry von Meter,1871-03-20,,,,Actor,"Malta Bend, Missouri",,,,,,,148.0441076818826,
17809,Arnold Vosloo,1962-06-16,Nancy Mulford (1988–1991) Silvia Ahí (1998–present),,,Actor,"Pretoria, South Africa",,,,,,,56.80335667399057,
17810,Tito Vuolo,1893-03-22,,,,Actor,"Gragnano, Italy",,,,,,,126.03681115970896,
17811,Murvyn Vye,1913-07-15,Patricia Savage Copeland (1915–1999),,,Actor,"Quincy, Massachusetts, U.S.",,,,,,,105.72427907486123,
17812,David Wachs,1980-07-25,,,,"Actor, musician","Palm Desert, California, U.S.",,,,,,,38.69483972976858,
17813,Adam Wade,1935-03-17,Kay A. Wade ( m.  1956;  div.  1973) Jeree Wade ( m.  1989),3,Virginia State College(attended),"
Singer
musician
actor
","Pittsburgh, Pennsylvania, U.S.",,,,,,,84.05374511454718,
17814,Brian Patrick Wade,1978-06-09,Married,1,,"Actor, personal trainer",,,,,,,,40.82219347419865,
17815,George Waggner,1894-09-07,,,,"Film actor, director, screenwriter","New York City, New York, U.S.",,,,,,,124.5747688179771,
17816,Lyle Waggoner,1935-04-13,Sharon Kennedy ( m.  1961),2,,"Actor, sculptor","Kansas City, Kansas, U.S.",,,,,,,83.9798216253585,
17817,Lou Wagner,1948-08-14,,,,Actor,"San Jose, California, US",,,,,,,70.64073868731049,
17818,Max Wagner,1901-11-28,,,,Actor,"Torreón, Coahuila, Mexico",,,,,,,117.35217013354142,
17819,Robert Wagner,1930-02-10,"Natalie Wood ( m.  1957;  div.  1962) ( m.  1972; died 1981) 
 Marion Marshall ( m.  1963;  div.  1971)   Jill St. John  ( m.  1990)","2, including Katie Wagner",,"Actor, producer","Detroit, Michigan, U.S.",1938-07-20,"San Francisco, California, U.S.",Actress,Robert Wagner ( m.  1957;  div.  1962) ( m.  1972) Richard Gregson ( m.  1969;  div.  1972),"2, Natasha Gregson Wagner, Courtney Wagner",-8.438229395538581,89.1489900545528,80.71076065901421
17820,William Wagner,1883-11-07,,,,,"New York City, New York, U.S.",,,,,,,135.40866684463063,
17821,Ken Wahl,1957-02-14,Corinne Alphen ( m.  1983;  div.  1991)   Lorrie Vidal ( m.  1993;  div.  1997)   Shane Barbi  ( m.  1997),3,,,"Chicago, Illinois, U.S.",1954-09-27,"Lynn, Massachusetts, U.S.","Model, actress",Ken Wahl ( m.  1984;  div.  1991),,2.38471700308699,62.13679952360418,64.52151652669117
17822,Donnie Wahlberg,1969-08-17,"
 Singer 
 songwriter 
 actor 
 record producer 
 film producer 
",2,,"
Singer
songwriter
actor
record producer
film producer
","Dorchester, Massachusetts, U.S.",,,,,,,49.63277822268767,
17823,Mark Wahlberg,1971-06-05,"Los Angeles ,  California , U.S.",4,,Actorbusinessmanmodelrappersongwriterproducer,"Boston, Massachusetts, U.S.",1978-07-01,"Lakeland, Florida, U.S.",Model,Mark Wahlberg  ( m.  2009),4,-7.072013799051315,47.833973319096216,40.761959520044904
17824,Robert Wahlberg,1967-12-18,Gina,,,Actor,"Boston, Massachusetts, U.S.",,,,,,,51.29742568293668,
17825,David Wain,1969-08-01,Zandy Hartig ( m.  2009;  div.  2015),2,,"
Comedian
actor
director
writer
","Shaker Heights, Ohio, U.S.",,,,,,,49.676584734799484,
17826,James Wainwright,1938-03-05,,,,Actor,"Danville, Illinois, U.S.",,,,,,,81.08585391897164,
17827,Liam Waite,1971-03-20,Natasha Henstridge  (1996–2004),2,,Actor,"Boston, Massachusetts, U.S.",,,,,,,48.04479215863433,
17828,Malcolm Waite,1892-05-07,,,,,"Menominee, Michigan, United States",,,,,,,126.9102034949383,
17829,Ralph Waite,1928-06-22,"
 Beverly Waite ( m.  1951;  div.  1966) 
 Kerry Shear Waite ( m.  1977;  div.  1981) 
 Linda East ( m.  1982) 
",3 daughters,,"Actor, political activist","White Plains, New York, U.S.",,,,,,,90.78625844473193,
17830,Thomas G. Waites,1955-01-08,Lisa Greenberg,2,Juilliard SchoolNew School (BA)University of Iowa (MFA),"Actor, director, playwright, teacher","Philadelphia, Pennsylvania, U.S.",,,,,,,64.23951210497135,
17831,Raymond Walburn,1887-09-09,Gertrude Steinman  (m.?-1953; her death)  Jane Davis  (m.1955-1969; his death),,,Actor,"Plymouth, Indiana, USA",,,,,,,131.57012122083273,
17832,Gregory Walcott,1928-01-13,Barbara ( m.  1954; died 2010),3,,Actor,"Wendell, North Carolina, U.S.",,,,,,,91.22706147285707,
17833,Robert Walden,1943-09-25,,,,,"New York City, New York, U.S.",,,,,,,75.52790269478497,
17834,Louis Waldon,1934-12-16,,,,Film actor,"Modesto, California, U.S.",,,,,,,84.30289465218314,
17835,Charles Waldron,1874-12-24,May King (1907-?),,,Actor,"Waterford, New York, United States",,,,,,,144.2794855472734,
17836,Wally Wales,1895-11-13,,,,,"Sheridan, Wyoming, U.S.",,,,,,,123.39199299095806,
17837,Christopher Walken,1943-03-31,Georgianne Thon  ( m.  1969),,,"Actor, director, screenwriter, playwright","Astoria, New York, U.S.",1944-02-08,United States,Casting director,Christopher Walken  ( m.  1969),,-0.8597028001943914,76.01525014202893,75.15554734183453
17838,Benjamin Walker,1982-06-21,Mamie Gummer ( m.  2011;  div.  2013) Kaya Scodelario  ( m.  2015),1,Juilliard School (BFA),"Actor, stand-up comedian","Cartersville, Georgia, U.S.",1983-08-03,"New York City, New York, U.S.",Actress,Benjamin Walker ( m.  2011;  div.  2013),1,-1.117066058851311,36.789256452904574,35.67219039405327
17839,Clint Walker,1927-05-30,Verna Garver ( m.  1948;  div.  1968) Giselle Hennesy ( m.  1974; died 1994) Susan Cavallari ( m.  1997; his death 2018),1,,"Actor, singer","Hartford, Illinois, U.S.",,,,,,,91.85130427045046,
17840,Skeet Ulrich,1970-01-20,Georgina Cates ( m.  1997;  div.  2005)     Amelia Jackson-Gray ( m.  2012;  div.  2015),2,,Actor,"Lynchburg, Virginia, U.S.",1975-01-14,"Colchester, Essex, England",Actress,Skeet Ulrich  (1997–2005),2,-4.9829907527190835,49.20566472959746,44.222673976878376
17841,Blair Underwood,1964-08-25,Desiree DaCosta ( m.  1994),4,Carnegie Mellon University (BFA),"Actor, director","Tacoma, Washington, U.S.",,,,,,,54.610293161392775,
17842,Jay Underwood,1968-10-01,,,,"Actor, pastor","San Leandro, CA, U.S.",,,,,,,50.50890846492399,
17843,Loyal Underwood,,,,,,"Rockford, Illinois",,,,,,,,
17844,Billy Unger,1995-10-15,,,,Actor,"Palm Beach County, Florida, United States",,,,,,,23.472076770912476,
17845,Joe Unger,1949-05-25,,,,Actor,"Lake County, Tennessee",,,,,,,69.86317309732576,
17846,Brandon Uranowitz,1986-07-09,Zachary Prince,,,"Actor, dancer, singer","Livingston, New Jersey",,,,,,,32.73989198956858,
17847,Johann Urb,1977-01-24,"Erin Axtell ( m.  2007–2010) 
 Rachel Emma Pringle ( m.  2018)",,,"Actor, producer","Tallinn, Estonia",,,,,,,42.19388488469989,
17848,James Urbaniak,1963-09-17,,,,"Actor, voice actor","Bayonne, New Jersey, U.S.",,,,,,,55.54939526478983,
17849,Robert Urich,1946-12-19,Barbara Rucker ( m.  1968–1974) Heather Menzies  ( m.  1975),3,,"Actor, producer","Toronto, Ohio, US",,,,,,,72.29443451953155,
17850,Michael Urie,1980-08-08,,,Collin CollegeJuilliard School (BFA),"
Actor
director
producer
","Houston, Texas, U.S.",,,,,,,38.65650903167074,
17851,Francis L. Urry,1908-01-23,,,,"Stage, film actor",,,,,,,,111.20009308883824,
17852,David Ury,1973-09-30,,,,"Actor, stand-up comedian, english<->Japanese translation specialist","Sonoma, California, U.S.",,,,,,,45.51222817716996,
17853,Usher,1978-10-14,Tameka Foster ( m.  2007;  div.  2009) Grace Miguel ( m.  2015; sep 2018),2,,"
Singer
songwriter
dancer
actor
","Dallas, Texas, U.S.",1971-01-01,"Oakland, California, US","Designer, stylist",Ryan Glover ( m.  2002;  div.  2007) Usher ( m.  2007;  div.  2009),5,7.783869620868328,40.47447928431111,48.25834890517944
17854,Guy Usher,1883-05-09,,,,Actor,"Mason City, Iowa",,,,,,,135.90696591990252,
17855,Jessie Usher,1992-02-29,,,,Actor,"Maryland, United States[citation needed]",,,,,,,27.09706564816526,
17856,Natividad Vácio,1912-09-08,,,,,"El Paso, Texas, U.S.",,,,,,,106.57303024702766,
17857,Peter Vack,1986-09-19,,,,"
Actor
director
writer
producer
","West Village, New York, U.S.",,,,,,,32.542762685065405,
17858,David VadimДевід Вадим,1972-03-28,,,,,"Ukrainian SSR, Soviet Union",,,,,,,47.02081493802063,
17859,Constantine Dan Vafiadis,1938-01-03,,1 Nick Vadis,,Actor,"Shanghai, China",,,,,,,81.25286624639794,
17860,Arun Vaidyanathan,,,,,"Film director, film producer, screenwriter","Sirkazhi, Tamil Nadu, India",,,,,,,,
17861,Lester Vail,1899-06-29,,,,Actor,"Denver, Colorado, United States",,,,,,,119.76700411370528,
17862,David Valcin,1964-09-11,Diane Murphy,3,,Actor,"Staten Island, NY",,,,,,,54.563748742273965,
17863,Wilmer Valderrama,1980-01-30,,,,"Actor, producer, singer","Miami, Florida, U.S.",,,,,,,39.17944927000554,
17864,Jeremy Ray Valdez,1980-07-10,,,,"Actor, musician","Santa Fe, New Mexico, U.S.",,,,,,,38.73590833487341,
17865,Michael Vale,1922-06-28,,,,Actor,"Brooklyn, New York, U.S.",,,,,,,96.7713231620088,
17866,Paul Valentine,1919-03-23,Flevur Ali Khan (1952-2006) Lili St. Cyr  (1946-1949) (divorced),,,Film and television actor,"New York City, New York, U.S.",,,,,,,100.0376462213461,
17867,Scott Valentine,1958-06-03,Kym Valentine,1,,Actor,"Saratoga Springs, New York, U.S.",,,,,,,60.83903160229163,
17868,Mark Valley,1964-12-24,Actor,1,,Actor,"Ogdensburg, New York, U.S.",1979-06-07,"Melbourne, Victoria, Australia",Actress,Mark Valley ( m.  2008;  div.  2009),,-14.450673182885343,54.279006413547165,39.82833323066182
17869,Rick Vallin,1919-09-24,,,,,Russia,,,,,,,99.53113342505321,
17870,James Vallo,,,,,"Film producer, actor",United States,,,,,,,,
17871,Drew Van Acker,1986-04-02,,,,"Actor, model, producer","New York, U.S.",,,,,,,33.008206876253446,
17872,Lee Van Atta,,,,,,,,,,,,,,
17873,Lewis Van Bergen,1938-11-09,,,,Actor,"New York City, New York, United States",,,,,,,80.4041150742315,
17874,Lee Van Cleef,1925-01-09,Forest Lawn Memorial Park (Hollywood Hills),,,Actor,"Somerville, New Jersey, United States",,,,,,,94.23602127353745,
17875,James Van Der Beek,1977-03-08,Heather McComb ( m.  2003;  div.  2010) Kimberly Van Der Beek ( m.  2010),5[1],,Actor,"Cheshire, Connecticut, U.S.",1977-03-02,"Lakewood Township, New Jersey, U.S.",Actress,James Van Der Beek ( m.  2003;  div.  2010),,0.016427442041931046,42.07615488339938,42.09258232544131
17876,Casper Van Dien,1968-12-18,Carrie Mitchum ( m.  1993;  div.  1997) Catherine Oxenberg ( m.   1999 ;  div.  2015) Jennifer Wenger ( m.   2018 ),4,,"Actor, producer","Milton, Florida, U.S.",,,,,,,50.29535171837888,
17877,Barry Van Dyke,1951-07-31,Mary Carey ( m.  1974),"4, including Shane Van Dyke",,"Actor, writer, director, presenter","Atlanta, Georgia, U.S.",,,,,,,67.6810612127559,
17878,Dick Van Dyke,1925-12-13,Margie Willett ( m.  1948;  div.  1984) Arlene Silver  ( m.  2012),"4, including Barry",,"Actor, comedian, singer, dancer","West Plains, Missouri, U.S.",,,,,,,93.31060870517533,
17879,Jerry Van Dyke,1931-07-27,Carol Johnson ( m.  1957;  div.  1974) Shirley Ann Jones ( m.  1977),"3, including Kelly Jean Van Dyke",,"Actor, comedian","Danville, Illinois, U.S.",,,,,,,87.69242352683492,
17880,Phillip Van Dyke,1984-06-13,Danielle Morgan  Jennifer ( m.  2009),3,,Actor,"San Francisco, California, U.S.",,,,,,,34.80974968685189,
17881,Shane Van Dyke,1979-08-28,,,,"Actor, screenwriter, film director","Los Angeles, California, U.S.",,,,,,,39.603824856088764,
17882,Brian Van Holt,1969-07-06,,,,Actor,"Waukegan, Illinois, U.S.",,,,,,,49.74777031698118,
17883,Patrick Van Horn,1969-08-19,,,,,United States,,,,,,,49.62730240867369,
17884,Cameron Van Hoy,1985-05-21,,,,"Actor, producer, writer and director","California, United States",,,,,,,33.873385490461814,
17885,Phillip Edward Van Lear,,,3,,Actor,"Aurora, Illinois, U.S.",,,,,,,,
17886,Rik Van Nutter,1929-05-01,Anita Ekberg  (1963-1975),,,,"Los Angeles, California, U.S.",,,,,,,89.92929355154452,
17887,Dick Van Patten,1928-12-09,Patricia Poole ( m.  1954; his death 2015),"3, including Vincent",,"Actor, businessman, animal welfare advocate","Queens, New York, U.S.",,,,,,,90.32081425354387,
17888,Tim Van Patten,1959-06-10,,,,"Director, actor, screenwriter, producer","Brooklyn, New York, United States",,,,,,,59.8205301956919,
17889,Vincent Van Patten,1957-10-17,Betsy Russell ( m.  1989;  div.  2001) Eileen Davidson  ( m.  2003),3,,"Actor, tennis player, commentator","Bellerose, New York, U.S.",1963-09-06,"San Diego, California, U.S.",Actress,Vincent Van Patten ( m.  1989;  div.  2001),2,-5.886500065025292,61.466012306892,55.5795122418667
17890,Mandela Van Peebles,1994-06-04,,,,"Actor, rapper, producer","Los Angeles, California, U.S.",,,,,,,24.835554460392753,
17891,Mario Van Peebles,1957-01-15,,Morgana Van PeeblesMandela Van Peebles,,"Actor, film director","Mexico City, Mexico",,,,,,,62.218936733813834,
17892,Ernest Van Pelt,1883-03-31,,,,Actor,,,,,,,,136.01374429317508,
17893,Luis van Rooten,1906-11-29,Catherine Gaylord Kelly,Courtlandt Van Rooten[1],,"Actor, author, translator","Mexico City, Mexico",,,,,,,112.35001403177341,
17894,Edward Van Sloan,1882-11-01,Myra Jackson (1911–1960; her death); 1 child,,,Actor,"New Trier, Minnesota, U.S.",,,,,,,136.42443034422337,
17895,Travis Van Winkle,1982-11-04,,,,Actor,"Victorville, California, U.S.",,,,,,,36.41690109995414,
17896,Steve Van Wormer,1969-12-08,,,,"Actor, voice actor","Flint, Michigan, United States",,,,,,,49.32339473089797,
17897,Bobby Van,1928-12-06,Diane Garrett ( m.  1952;  div.  1962) Elaine Joyce  ( m.  1968),2,,"Actor, singer, dancer, game show host","The Bronx, New York, U.S.",,,,,,,90.32902797456484,
17898,Wally Van,1880-09-27,,,,ActorFilm director,"New Hyde Park, New York",,,,,,,138.51892920456956,
17899,Schuster Vance,,,,,,,,,,,,,,
17900,Warren Vanders,1930-05-23,Dawn Bender  (1953–1955),,,Film and television actor,"San Fernando, California, U.S.",,,,,,,88.86972353983997,
17901,Paul Vandervort,1985-02-05,,,,"Actor, writer, producer","Aspen, Colorado, United States",,,,,,,34.16086572619561,
17902,Chase Wright Vanek,1996-06-27,,,,Actor,"Seattle, Washington",,,,,,,22.77117257712342,
17903,Bee Vang,1991-11-04,,,,"Actor, activist, student","Fresno, California, United States",,,,,,,27.417400767982915,
17904,Marc Vann,1954-08-23,Mary Easterling (1985–1988; divorced),,,,"Norfolk, Virginia",,,,,,,64.61734327193577,
17905,Jilon VanOver,1978-08-24,Kylie King  ( m.  2012),,,Actor,"Loma Linda, California, United States",,,,,,,40.614112541667524,
17906,Victor Varconi,1891-03-31,Anna Aranyosy (m. 1919–1949) (her death) Lilliane Varconi (m. ?–1976) [1],,,Actor,"Kisvárda, Austria-Hungary",,,,,,,128.01358001875465,
17907,Jacob Vargas,1971-08-18,Sylvia Arzate,2,,Actor,"Michoacán, Mexico",,,,,,,47.63136820057907,
17908,Valentin de Vargas,1935-04-27,Arlene McQuade  (m. 1960–67; divorced); 2 children Nome Jones (1973–80); 1 child M. Diana Pace (2007–13; his death),,,Actor,"Albuquerque, New Mexico, U.S.",,,,,,,83.94149092726066,
17909,Vincent Vargas,,,,,"Actor, Writer and Producer",,,,,,,,,
17910,Victor Varnado,1969-05-15,,,,"Actor, stand up comedian","Gary, Indiana, USA",,,,,,,49.890141481344585,
17911,Jim Varney,1949-06-15,Jacqueline Drew ( m.  1977;  div.  1983) Jane Varney ( m.  1988;  div.  1991),,,"Actor, comedian, writer","Lexington, Kentucky, U.S.",,,,,,,69.80567705017899,
17912,Roland Varno,1908-03-15,Elizabeth Tyree (1932-?) (divorced) (2 children),,,Actor,"Utrecht, Netherlands",,,,,,,111.05772192447483,
17913,Michael Vartan,1968-11-27,Lauren Skaar ( m.  2011;  div.  2014),,,Actor,"Boulogne-Billancourt, Hauts-de-Seine, France",,,,,,,50.352847765525645,
17914,Randy Vasquez,1961-10-16,,,,"Actor, director","Escondido, California, U.S.",,,,,,,57.46866807668877,
17915,Joseph Vassallo,,,,,,Malta,,,,,,,,
17916,Greg Vaughan,1973-06-15,Touriya Haoud ( m.  2006;  div.  2014),3,,,"Dallas, Texas, U.S.",1977-10-01,"Rhenen, Utrecht ","Actress, model, singer",Greg Vaughan  (2006–2014; divorced),3,-4.295776093964968,45.80518422691773,41.509408132952764
17917,Ned Vaughn,1964-11-20,Adelaide (m. 1997),5,,Actor,"Huntsville, Alabama",,,,,,,54.37209525178477,
17918,Robert Vaughn,1932-11-22,Linda Staab ( m.  1974– 2016 ),2,"M.A., California State University, Los AngelesPh.D., University of Southern California","Film, television and stage actor","New York City, U.S.",,,,,,,86.36727653545248,
17919,Vince Vaughn,1970-03-28,Kyla Weber ( m.   2010 ),2,,"Actor, producer, screenwriter, comedian","Minneapolis, Minnesota, U.S",,,,,,,49.02222496012923,
17920,Mikhail Vavich,,,,,"actor, singer","Odessa, Russian Empire",,,,,,,,
17921,Ron Vawter,1948-12-09,,,,,"Latham, New York",,,,,,,70.32040356749283,
17922,Yul Vazquez,1965-03-18,Linda Larkin  ( m.  2002),,,"Actor, musician",Cuba,1970-03-20,"Los Angeles, California, U.S.","Actress, voice actress",Yul Vazquez  ( m.  2002),,-5.004894008774992,54.049022224960126,49.044128216185136
17923,Bruno VeSota,1922-03-25,"Genevieve ""Jebbie"" VeSota (m. 1953 – 1976) (his death)",6,,Actor,"Chicago, Illinois, USA",,,,,,,97.03142432767271,
17924,Alex Veadov,1962-04-15,,,,actor,"Chernovtsy, Ukrainian SSR, Soviet Union (now Chernivtsi, Ukraine)",,,,,,,56.97310690842386,
17925,Perry N. Vekroff,1881-06-03,,,,"Film director, screenwriter, actor","Shumen, Bulgaria[1]",,,,,,,137.83719035982944,
17926,Reginald VelJohnson,1952-08-16,,,New York University (MFA),Actor,"New York City, New York, U.S.",,,,,,,66.6351807360863,
17927,Vinny Vella,1947-01-11,,,,Actor,United States,,,,,,,72.2314626583708,
17928,Lenny Venito,1969-05-10,,,,Actor,"Brooklyn, New York, U.S.",,,,,,,49.90383101637953,
17929,Chick Vennera,,,,,Actor,,,,,,,,,
17930,John Ventimiglia,,,2,,Actor,"Ridgewood, Queens, New York, U.S.",,,,,,,,
17931,Milo Ventimiglia,1977-07-08,,,,ActorDirectorProducer,"Anaheim, California, U.S.",,,,,,,41.742130228546785,
17932,Vincent Ventresca,1966-04-29,Dianne Shiner ( m.  1995),2,,"
Actor
writer
producer
","Indianapolis, Indiana, U.S.",,,,,,,52.93469407311581,
17933,Richard Venture,1923-11-11,"Grayce Grant (1946-1971; divorced) (4 children) Olivia Cole  (1969–1984; divorced) Lorraine Venture (1984-1995, divorced)",,,,"New York City, New York, U.S.",,,,,,,95.39963175150756,
17934,Mark Venturini,1961-01-10,,,West Leyden High School,Actor,"Illinois, U.S.",,,,,,,58.23254413163857,
17935,Ernő Verebes,1902-12-06,,,,,Hungary,,,,,,,116.33093081993471,
17936,Ben Vereen,1946-10-10,"Andrea Townsley (m. 1966, div. 1974) [3]    Nancy Bruner (m. 1976, div. 2012)",5,,"Actor, dancer, singer, voice actor","Laurinburg, North Carolina[1]or Miami, Florida[2]",,,,,,,72.48608801002074,
17937,Tom Verica,1964-05-13,Kira Arne' Verica,"Two children, Dante and Ciana",,"
Actor, director, producer
","Philadelphia, Pennsylvania",,,,,,,54.895035490119575,
17938,Glen Vernon,1923-10-27,,,,Actor,"Fall River, Massachusetts, U.S.",,,,,,,95.44070035661238,
17939,Harvey Vernon,1927-06-30,,,,Actor,,,,,,,,91.76642915323382,
17940,Dave Vescio,1970-06-24,,,Atlantic Theater Company,"Soldier, Actor, Photojournalist","Somerset, Pennsylvania, United States",,,,,,,48.78128914351424,
17941,Tommy Vicini,,,,,"Film, stage actor","Milwaukee, Wisconsin",,,,,,,,
17942,John Vickery,1950-11-04,,Alexandria,,Actor,"Alameda, California, United States",,,,,,,68.41755819763581,
17943,Vince Vieluf,1970-11-10,,,,Actor,"Joliet, Illinois, U.S.",,,,,,,48.400720069542835,
17944,Robert G. Vignola,1882-08-05,,,,"Actor, Screenwriter and Film director","Trivigno, Basilicata, Italy",,,,,,,136.66536616083835,
17945,Abe Vigoda,1921-02-24,Sonja Gohlke ( m.   1939 ;  div.   1963 ) Beatrice Schy ( m.   1968 ; died  1992 ),1,,Actor,"Brooklyn, New York, U.S.",,,,,,,98.11015968842618,
17946,Herb Vigran,1910-06-05,Belle Mary Vigran (1952–1986) (his death),,,Actor,"Cincinnati, Ohio, U.S.",,,,,,,108.83454143480017,
17947,Robert Viharo,1942-08-14,"Anne Helm  1972 - 1980,  Jeane Manson  1981 - ?","Will Viharo, Serena Viharo",,Actor,U.S.,,,,,,,76.64223084662929,
17948,Tom Villard,1953-11-19,Scott Chambliss [1],,,Actor,"Waipahu, Hawaii, United States",,,,,,,65.37574351287158,
17949,Chad Villella,,,,,"Writer, Actor, Director","Pennsylvania, United States",,,,,,,,
17950,Pruitt Taylor Vince,1960-07-05,Anne Schnieder ( Undated. ) Julianne Mattelig ( m.  2003),,,Actor,"Baton Rouge, Louisiana, US",,,,,,,58.7500085559594,
17951,Alex Vincent,1981-04-29,,,,"
Actor
sound engineer
","Newark, New Jersey, U.S.",,,,,,,37.93370158182577,
17952,Frank Vincent,1937-04-15,Kathleen Vincent ( m.  1970; his death 2017),3,,"Actor, musician, author","North Adams, Massachusetts, U.S.",,,,,,,81.97293578923592,
17953,James Vincent,1882-07-19,,,,ActorFilm director,"Springfield, Massachusetts",,,,,,,136.71191057995716,
17954,Jan-Michael Vincent,1945-07-15,Bonnie Poorman ( m.  1968;  div.  1977) Joanne Robinson ( m.  1986;  div.  1999) Patricia Ann Christ   ( m.  2000),1,,Actor,"Denver, Colorado, U.S.",,,,,,,73.72362197717955,
17955,Steve Vinovich,1945-01-22,,,,Actor,"Peoria, Illinois",,,,,,,74.20001779639554,
17956,Gary Vinson,1936-10-22,,,,Actor,"El Segundo, California",,,,,,,82.4520695154589,
17957,Tom Virtue,1957-11-19,Alima Virtue ( m.  1999),4,,Actor,"Sherman, Texas, U.S.",,,,,,,61.37566137566137,
17958,Michael Visaroff,1889-12-18,,,,Actor,"Moscow, Russia",,,,,,,129.29492049802528,
17959,Goran Visnjic,1972-09-09,Eva Visnjic ( m.  1999),4,,Actor,"Šibenik, SR Croatia, SFR Yugoslavia (now Croatia)",,,,,,,46.56906028186753,
17960,Mike Vitar,1978-12-21,,,,Firefighter (2002–present)Actor (1990–1997),"Los Angeles, California, U.S",,,,,,,40.28830160783589,
17961,Joe Viterelli,1937-03-10,Catherine Brennan (1960 [3] –2004; his death),,,Actor,"New York City, U.S.",,,,,,,82.0715004414875,
17962,Ray Vitte,1949-11-20,,,,Actor,"New York City, New York",,,,,,,69.3730877430748,
17963,John Vivyan,1915-05-31,,,,Actor,"Chicago, Illinois, U.S.",,,,,,,103.8488127750741,
17964,Emmett Vogan,1893-09-27,Edythe Vogan,,,Actor,"Lima, Ohio",,,,,,,125.51934673538813,
17965,Fred Vogel,1976-04-18,Shelby Vogel (m. 2006),,,Filmmakeractoreditorwriterfilm producer,"Warren Township, New Jersey, U.S",,,,,,,42.963236753663665,
17966,Mike Vogel,1979-07-17,Courtney Vogel ( m.  2003),3,,"Actor, model","Abington Township, Pennsylvania, U.S.",,,,,,,39.71881695038228,
17967,Mitch Vogel,1956-01-17,Christine Gilles (1985-present) (2 children),,,Actor,"Alhambra, California, U.S.",,,,,,,63.21553488435765,
17968,Jon Voight,1938-12-29,Lauri Peters ( m.  1962;  div.  1967) Marcheline Bertrand ( m.  1971;  div.  1978),James HavenAngelina Jolie,,Actor,"Yonkers, New York, U.S.",1943-07-02,"Detroit, Michigan, U.S.",Actress,Jon Voight ( m.  1962;  div.  1967),,-4.5065949335030835,80.26721972388208,75.760624790379
17969,Herb Voland,,,,,Actor,"New Rochelle, New York",,,,,,,,
17970,John Voldstad,1951-02-20,Kellye Fowler ( m.  1990),1 son,Birmingham High School,Actor,"Oslo, Norway",,,,,,,68.12186424088105,
17971,Daniel von Bargen,1950-06-05,"March 1, 2015 (2015-03-01)  (aged 64) Montgomery, Ohio , U.S.",,,Actor,"Cincinnati, Ohio, U.S.",,,,,,,68.83372006269808,
17972,Erik von Detten,1982-10-03,,,,"Actor, Broker","San Diego, California, U.S.",,,,,,,36.504514124177774,
17973,Lenny Von Dohlen,1958-12-22,,Hazel,,Actor,"Augusta, Georgia, U.S.",,,,,,,60.28597438687995,
17974,Theodore von Eltz,1893-11-05,Peggy Prior (1921-1931; divorced); 2 children Elizabeth Lorimer (1932-1964) (his death),Lori March (1923-2013),,Actor,"New Haven, Connecticut, U.S.",,,,,,,125.41256836211558,
17975,Hunter von Leer,1944-04-03,,,,Actor,"Terre Haute, Indiana, U.S.",,,,,,,75.00496245645017,
17976,Harry von Meter,1871-03-20,,,,Actor,"Malta Bend, Missouri",,,,,,,148.0441076818826,
17977,Arnold Vosloo,1962-06-16,Nancy Mulford (1988–1991) Silvia Ahí (1998–present),,,Actor,"Pretoria, South Africa",,,,,,,56.80335667399057,
17978,Tito Vuolo,1893-03-22,,,,Actor,"Gragnano, Italy",,,,,,,126.03681115970896,
17979,Murvyn Vye,1913-07-15,Patricia Savage Copeland (1915–1999),,,Actor,"Quincy, Massachusetts, U.S.",,,,,,,105.72427907486123,
17980,David Wachs,1980-07-25,,,,"Actor, musician","Palm Desert, California, U.S.",,,,,,,38.69483972976858,
17981,Adam Wade,1935-03-17,Kay A. Wade ( m.  1956;  div.  1973) Jeree Wade ( m.  1989),3,Virginia State College(attended),"
Singer
musician
actor
","Pittsburgh, Pennsylvania, U.S.",,,,,,,84.05374511454718,
17982,Brian Patrick Wade,1978-06-09,Married,1,,"Actor, personal trainer",,,,,,,,40.82219347419865,
17983,George Waggner,1894-09-07,,,,"Film actor, director, screenwriter","New York City, New York, U.S.",,,,,,,124.5747688179771,
17984,Lyle Waggoner,1935-04-13,Sharon Kennedy ( m.  1961),2,,"Actor, sculptor","Kansas City, Kansas, U.S.",,,,,,,83.9798216253585,
17985,Lou Wagner,1948-08-14,,,,Actor,"San Jose, California, US",,,,,,,70.64073868731049,
17986,Max Wagner,1901-11-28,,,,Actor,"Torreón, Coahuila, Mexico",,,,,,,117.35217013354142,
